MovieName,Genre,Ratings,VotecountOrg,DurationOrg,Votecount,Duration
102. Da Tu Wei,war,0.0,,1h 50m,0.0,110
103. Kara Kyz,war,4.8, 18,1h 51m,18.0,111
104. No Tomorrow,war,0.0,,,0.0,0
105. Sem chyornykh bumag,war,6.6, 54,1h 36m,54.0,96
106. The Deserter,war,0.0,,1h 33m,0.0,93
107. The Dakota War: Attack on Fort Ridgely,war,0.0,,1h 20m,0.0,80
108. Wo de Ye Ye,war,0.0,,,0.0,0
109. Los indomables,war,6.5, 9,1h 46m,9.0,106
110. Un milione di granelli di sabbia,war,0.0,,1h 4m,0.0,64
111. The Lights,war,0.0,,,0.0,0
112. Rinnans rival,war,0.0,,1h 34m,0.0,94
"113. Gaza, since October 7",war,0.0,,1h 34m,0.0,94
114. Fedeltà Soldati. Prigionieri.,war,0.0,,1h 20m,0.0,80
115. As Noites Ainda Cheiram a Pólvora,war,0.0,,1h 32m,0.0,92
116. 11.11.18 Soldat Inconnu,war,0.0,,1h 18m,0.0,78
117. Attack Jiajin Mountain,war,0.0,,1h 36m,0.0,96
118. Dosije Kosovo - Pogrom,war,7.6, 5,1h 49m,5.0,109
119. Krasnye lenty,war,5.5, 16,1h 2m,16.0,62
120. Athletes of War,war,0.0,,1h 35m,0.0,95
121. Do You Want to See Part Two?,war,0.0,,1h 14m,0.0,74
122. Krigsvarsleren,war,7.2, 6,55m,6.0,55
123. Casques bleuEs,war,0.0,,1h 22m,0.0,82
124. For the Love of the Motherland,war,0.0,,,0.0,0
125. Kadetar,war,0.0,,1h 59m,0.0,119
126. Colonel Xanthi,war,0.0,,,0.0,0
127. Prazdnik,war,0.0,,1h 13m,0.0,73
128. Twisted America,war,0.0,,49m,0.0,49
